LAT,LON,YEAR,MO,DY,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,PRECTOT,WS10M,PS,QV2M,ALLSKY_SFC_SW_DWN
-37.63269,145.79811,1981,10,1,6.8,6.8,14.85,7.13,11.42,4.54,1.75,96.19,6.43,-999
-37.63269,145.79811,1981,10,2,10.37,10.37,17.09,11.62,13.98,15.97,1.81,95.45,8.33,-999
-37.63269,145.79811,1981,10,3,5.53,5.53,12.16,4.72,7.49,12.64,1.91,95.82,6.01,-999
-37.63269,145.79811,1981,10,4,5.97,5.98,11.61,4.57,8.28,2.77,1.83,97.14,6.03,-999
-37.63269,145.79811,1981,10,5,7.24,7.24,16,8.31,11.68,0.1,1.98,97.46,6.53,-999
-37.63269,145.79811,1981,10,6,7.41,7.41,19.08,7.81,13.93,0.01,2.5,97.2,6.67,-999
-37.63269,145.79811,1981,10,7,5.78,5.79,15.4,6.95,12.49,0.02,1.99,97.05,5.93,-999
-37.63269,145.79811,1981,10,8,6.17,6.18,17.41,4.54,10.79,0,0.98,97.55,6.1,-999
-37.63269,145.79811,1981,10,9,9.13,9.13,19.8,8.61,13.5,1.14,2.03,97.01,7.56,-999
-37.63269,145.79811,1981,10,10,3.81,3.82,13.42,4.26,8.61,0.04,1.38,97.59,5.14,-999
-37.63269,145.79811,1981,10,11,4.06,4.07,14.27,3.43,8.37,0.03,1.12,97.58,5.23,-999
-37.63269,145.79811,1981,10,12,6.74,6.75,18.1,3.22,10.93,0.11,0.97,97.54,6.4,-999
-37.63269,145.79811,1981,10,13,10.42,10.42,20.27,8.4,14.39,0.05,1.9,97.21,8.18,-999
-37.63269,145.79811,1981,10,14,7.61,7.61,16.23,6.47,12.67,0.6,2.42,96.86,6.83,-999
-37.63269,145.79811,1981,10,15,4.27,4.28,12.56,5.01,7.91,2.11,1.49,97.76,5.3,-999
-37.63269,145.79811,1981,10,16,4.65,4.65,13.53,5.13,8.57,0.08,1.2,97.99,5.43,-999
-37.63269,145.79811,1981,10,17,5.71,5.72,12.75,3.92,8.21,4.04,1.51,97.58,5.88,-999
-37.63269,145.79811,1981,10,18,7.66,7.66,17.75,6.25,11.87,0.35,0.92,97.08,6.79,-999
-37.63269,145.79811,1981,10,19,9.5,9.51,18.5,8.91,13.25,0.63,0.94,96.66,7.71,-999
-37.63269,145.79811,1981,10,20,10.47,10.47,15.44,9.06,11.69,11.65,0.87,95.93,8.28,-999
-37.63269,145.79811,1981,10,21,9.07,9.07,16.27,8.55,11.46,2.63,1.47,95.98,7.52,-999
-37.63269,145.79811,1981,10,22,6.41,6.42,12.99,6.74,9.76,0.85,1.67,96.99,6.22,-999
